from,to,type
Q99070343,Q99070370,spouse
Q99070408,Q99070448,spouse
Q75961229,Q75961232,spouse
Q105803226,Q75961235,spouse
Q110290233,Q99069788,spouse
Q99069919,Q99070028,spouse
Q99803734,Q99803746,spouse
Q99156505,Q99156522,spouse
Q52435837,Q76003679,spouse
Q99803833,Q99803842,spouse
Q51862142,Q75248170,spouse
Q2581065,Q61962932,spouse
Q99803993,Q99803996,spouse
Q76241017,Q76241018,spouse
Q99804077,Q99804088,spouse
Q75670351,Q75972843,spouse
Q99804140,Q99804145,spouse
Q99804195,Q99804204,spouse
Q99804234,Q99804242,spouse
Q99804264,Q99804266,spouse
Q99804277,Q99804286,spouse
Q99804342,Q99804352,spouse
Q99804387,Q99804389,spouse
Q99804405,Q99804414,spouse
Q76277933,Q76277944,spouse
Q18534239,Q76277934,spouse
Q61971044,Q61971749,spouse
Q75933583,Q75933584,spouse
Q110290288,Q99070430,spouse
Q7321853,Q96244009,spouse
Q110290322,Q110290323,spouse
Q110290325,Q110290326,spouse
Q56176617,Q96244028,spouse
Q99082540,Q99082569,spouse
Q110290454,Q110290455,spouse
Q110290366,Q110290367,spouse
Q110290457,Q110290458,spouse
Q106703059,Q106703060,spouse
Q101163257,Q101163261,spouse
Q96244042,Q96244048,spouse
Q99070257,Q99075659,spouse
Q99070276,Q99070287,spouse
Q99070350,Q99070363,spouse
Q99070379,Q99070389,spouse
Q99070430,Q99070439,spouse
Q75961225,Q75961227,spouse
Q105803219,Q75961231,spouse
Q56178921,Q76273222,spouse
Q105803227,Q105803228,spouse
Q99069795,Q99069827,spouse
Q99069929,Q99069983,spouse
Q18821787,Q99070099,spouse
Q99156509,Q99156514,spouse
Q75972661,Q75972664,spouse
Q99806217,Q99806218,spouse
Q18530899,Q75248132,spouse
Q18527485,Q61962936,spouse
Q61962943,Q61962945,spouse
Q99806990,Q99807093,spouse
Q99807109,Q99807139,spouse
Q75972653,Q75972655,spouse
Q99805126,Q99805138,spouse
Q99155815,Q99155835,spouse
Q99805153,Q99805195,spouse
Q99805244,Q99805254,spouse
Q18671789,Q76277936,spouse
Q76277935,Q99805689,spouse
Q61971723,Q61971756,spouse
Q16204119,Q99188261,spouse
Q3012329,Q99806052,spouse
Q75933586,Q99806111,spouse
Q96311985,Q99072675,spouse
Q99072508,Q99072526,spouse
Q22815213,Q6827220,spouse
Q110635501,Q110635502,spouse
Q110290421,Q110636422,spouse
Q99072218,Q99072277,spouse
Q116147492,Q116147493,spouse
Q116147503,Q116147509,spouse
Q96244025,Q96244027,spouse
Q99071353,Q99071403,spouse
Q110388722,Q99082549,spouse
Q99082590,Q99082619,spouse
Q110636772,Q110636774,spouse
Q110582468,Q110582483,spouse
Q110441658,Q99075772,spouse
Q110635503,Q75241114,spouse
Q110290793,Q96311985,spouse
Q110290796,Q110290797,spouse
Q75958839,Q99199155,spouse
Q105872162,Q105872165,spouse
Q105872168,Q76331439,spouse
Q96244045,Q96244047,spouse
Q110441213,Q110441214,spouse
Q75961221,Q99075659,spouse
Q75247597,Q99075723,spouse
Q76048560,Q76215134,spouse
Q99072487,Q99072581,spouse
Q110067842,Q99072588,spouse
Q110067846,Q99072626,spouse
Q99073219,Q99073259,spouse
Q75961221,Q75961224,spouse
Q110290493,Q75961226,spouse
Q110290494,Q110290495,spouse
Q110290483,Q110290485,spouse
Q76273183,Q76273217,spouse
Q75958835,Q76273220,spouse
Q110290503,Q110290504,spouse
Q99069806,Q99069817,spouse
Q99069833,Q99069845,spouse
Q75558048,Q99069940,spouse
Q99069999,Q99070014,spouse
Q76214368,Q76214369,spouse
Q75616810,Q75616811,spouse
Q104038170,Q16845627,spouse
Q75241252,Q99082590,spouse
Q100145788,Q130728603,sibling_any
Q100145789,Q1489164,sibling_any
Q100153033,Q110637470,sibling_any
Q100153033,Q116108311,sibling_any
Q100153043,Q101231755,sibling_any
Q100153052,Q75591248,sibling_any
Q100153052,Q75791763,sibling_any
Q100153052,Q76201130,sibling_any
Q100326337,Q99804253,sibling_any
Q100326381,Q103838063,sibling_any
Q100326381,Q108913086,sibling_any
Q100326381,Q18672778,sibling_any
Q100326381,Q75241183,sibling_any
Q100326381,Q75616820,sibling_any
Q100326381,Q76329294,sibling_any
Q100326382,Q100900242,sibling_any
Q100326382,Q107275528,sibling_any
Q100326382,Q76277952,sibling_any
Q100326382,Q99803765,sibling_any
Q100326446,Q110388260,sibling_any
Q100326446,Q99804061,sibling_any
Q100447310,Q56006558,sibling_any
Q100447630,Q125223889,sibling_any
Q100447630,Q125224172,sibling_any
Q100447630,Q125224210,sibling_any
Q100447630,Q131364646,sibling_any
Q100447677,Q105881956,sibling_any
Q100447677,Q108687502,sibling_any
Q100447686,Q96216894,sibling_any
Q100447686,Q96216921,sibling_any
Q100900242,Q107275528,sibling_any
Q100900242,Q76277952,sibling_any
Q100900242,Q99803765,sibling_any
Q100901131,Q100901145,sibling_any
Q100901131,Q104484521,sibling_any
Q100901131,Q105821280,sibling_any
Q100901131,Q75552096,sibling_any
Q100901131,Q75669363,sibling_any
Q100901131,Q75984685,sibling_any
Q100901131,Q99069929,sibling_any
Q100901131,Q99674956,sibling_any
Q100901145,Q104484521,sibling_any
Q100901145,Q105821280,sibling_any
Q100901145,Q75552096,sibling_any
Q100901145,Q75669363,sibling_any
Q100901145,Q75984685,sibling_any
Q100901145,Q99069929,sibling_any
Q100901145,Q99674956,sibling_any
Q101163261,Q110582255,sibling_any
Q101163261,Q75552091,sibling_any
Q101163261,Q76331438,sibling_any
Q101208263,Q101422789,sibling_any
Q101208263,Q101423285,sibling_any
Q101208263,Q114341843,sibling_any
Q101208263,Q75765694,sibling_any
Q101208263,Q96199083,sibling_any
Q101208263,Q98422877,sibling_any
Q101231836,Q101523209,sibling_any
Q101231836,Q104038423,sibling_any
Q101231836,Q6219518,sibling_any
Q101231836,Q75268879,sibling_any
Q101243731,Q104551518,sibling_any
Q101243731,Q123729264,sibling_any
Q101243731,Q131179528,sibling_any
Q101243731,Q99399789,sibling_any
Q101422787,Q101424361,sibling_any
Q101422787,Q101424598,sibling_any
Q101422787,Q107622034,sibling_any
Q101422787,Q107726773,sibling_any
Q101422787,Q123991823,sibling_any
Q101422788,Q104451404,sibling_any
Q101422788,Q104553386,sibling_any
Q101422788,Q107296253,sibling_any
Q101422789,Q101423285,sibling_any
Q101422789,Q114341843,sibling_any
Q101422789,Q75765694,sibling_any
Q101422789,Q96199083,sibling_any
Q101422789,Q98422877,sibling_any
Q101422798,Q101423222,sibling_any
Q101422798,Q101423332,sibling_any
Q101422798,Q101423354,sibling_any
Q101422798,Q101423697,sibling_any
Q101422798,Q101423840,sibling_any
Q101422798,Q101424633,sibling_any
Q101422798,Q115707595,sibling_any
Q101422800,Q101422820,sibling_any
Q101422800,Q101422841,sibling_any
Q101422800,Q101423445,sibling_any
Q101422800,Q124066750,sibling_any
Q101422800,Q96076725,sibling_any
Q101422820,Q101422841,sibling_any
Q101422820,Q101423445,sibling_any
Q101422820,Q124066750,sibling_any
Q101422820,Q96076725,sibling_any
Q101422841,Q101423445,sibling_any
Q101422841,Q124066750,sibling_any
Q101422841,Q96076725,sibling_any
Q101423222,Q101423332,sibling_any
Q101423222,Q101423354,sibling_any
Q101423222,Q101423697,sibling_any
Q101423222,Q101423840,sibling_any
Q101423222,Q101424633,sibling_any
Q101423222,Q115707595,sibling_any
Q101423285,Q114341843,sibling_any
Q101423285,Q75765694,sibling_any
Q101423285,Q96199083,sibling_any
Q101423285,Q98422877,sibling_any
Q101423332,Q101423354,sibling_any
Q101423332,Q101423697,sibling_any
Q101423332,Q101423840,sibling_any
Q101423332,Q101424633,sibling_any
Q101423332,Q115707595,sibling_any
Q101423354,Q101423697,sibling_any
Q101423354,Q101423840,sibling_any
Q101423354,Q101424633,sibling_any
Q101423354,Q115707595,sibling_any
Q101423445,Q124066750,sibling_any
Q101423445,Q96076725,sibling_any
Q101423697,Q101423840,sibling_any
Q101423697,Q101424633,sibling_any
Q101423697,Q115707595,sibling_any
Q101423840,Q101424633,sibling_any
Q101423840,Q115707595,sibling_any
Q101424359,Q96216559,sibling_any
Q101424361,Q101424598,sibling_any
Q101424361,Q107622034,sibling_any
Q101424361,Q107726773,sibling_any
Q101424361,Q123991823,sibling_any
Q101424598,Q107622034,sibling_any
Q101424598,Q107726773,sibling_any
Q101424598,Q123991823,sibling_any
Q101424633,Q115707595,sibling_any
Q101523209,Q104038423,sibling_any
Q101523209,Q6219518,sibling_any
Q101523209,Q75268879,sibling_any
Q101523503,Q96318366,sibling_any
Q101536506,Q107182892,sibling_any
Q101536506,Q116924148,sibling_any
Q101536506,Q76197509,sibling_any
Q101536506,Q96414252,sibling_any
Q101536506,Q97536585,sibling_any
Q101536506,Q98103768,sibling_any
Q101566808,Q101566876,sibling_any
Q101566808,Q24524594,sibling_any
Q101566876,Q24524594,sibling_any
Q102327518,Q103519605,sibling_any
Q102327518,Q76197511,sibling_any
Q102327518,Q99769246,sibling_any
Q102352231,Q96318389,sibling_any
Q102400157,Q123336416,sibling_any
Q102400157,Q22302383,sibling_any
Q102433534,Q102433548,sibling_any
Q102433534,Q102433555,sibling_any
Q102433548,Q102433555,sibling_any
Q102522194,Q6240151,sibling_any
Q102522194,Q91555997,sibling_any
Q102522194,Q91555999,sibling_any
Q103519605,Q76197511,sibling_any
Q103519605,Q99769246,sibling_any
Q103838063,Q108913086,sibling_any
Q103838063,Q18672778,sibling_any
Q103838063,Q75241183,sibling_any
Q103838063,Q75616820,sibling_any
Q103838063,Q76329294,sibling_any
Q104038161,Q5362663,sibling_any
Q104038161,Q75523325,sibling_any
Q104038162,Q105872441,sibling_any
Q104038162,Q136243199,sibling_any
Q104038162,Q61911816,sibling_any
Q104038162,Q75613020,sibling_any
Q104038162,Q75769369,sibling_any
Q104038162,Q96075964,sibling_any
Q104038164,Q112943051,sibling_any
Q104038164,Q127227267,sibling_any
Q104038166,Q96075919,sibling_any
Q104038170,Q105790237,sibling_any
Q104038170,Q105873559,sibling_any
Q104038170,Q75791771,sibling_any
Q104038170,Q76154931,sibling_any
Q104038225,Q105803073,sibling_any
Q104038231,Q18531404,sibling_any
Q104038231,Q76297251,sibling_any
Q104038231,Q99767733,sibling_any
Q104038234,Q96322805,sibling_any
Q104038284,Q6257376,sibling_any
Q104038284,Q75541548,sibling_any
Q104038284,Q76344535,sibling_any
Q104038325,Q110315640,sibling_any
Q104038325,Q75241204,sibling_any
Q104038325,Q76322600,sibling_any
Q104038325,Q96318406,sibling_any
Q104038398,Q105802227,sibling_any
Q104038398,Q130353227,sibling_any
Q104038398,Q75558031,sibling_any
Q104038398,Q8007582,sibling_any
Q104038398,Q98103245,sibling_any
Q104038398,Q98967083,sibling_any
Q104038398,Q99107561,sibling_any
Q104038400,Q98103241,sibling_any
Q104038423,Q6219518,sibling_any
Q104038423,Q75268879,sibling_any
Q104038428,Q105801465,sibling_any
Q104038428,Q105802962,sibling_any
Q104038428,Q116156741,sibling_any
Q104038438,Q75674916,sibling_any
Q104038438,Q75760439,sibling_any
Q104038438,Q76218735,sibling_any
Q104038438,Q7964321,sibling_any
Q104038604,Q105814299,sibling_any
Q104038604,Q110439571,sibling_any
Q104038604,Q75241252,sibling_any
Q104038604,Q99068428,sibling_any
Q104038604,Q99070448,sibling_any
Q104038606,Q99070389,sibling_any
Q104038718,Q96075536,sibling_any
Q104038723,Q116136480,sibling_any
Q104038723,Q6257124,sibling_any
Q104038723,Q97568561,sibling_any
Q104038730,Q105794787,sibling_any
Q104038772,Q7326109,sibling_any
Q104038772,Q98053399,sibling_any
Q104073325,Q15917318,sibling_any
Q104073325,Q16854050,sibling_any
Q104073325,Q99928371,sibling_any
Q104451404,Q104553386,sibling_any
Q104451404,Q107296253,sibling_any
Q104472010,Q5722188,sibling_any
Q104472010,Q76101065,sibling_any
Q104472110,Q116029022,sibling_any
Q104472110,Q99804286,sibling_any
Q104472588,Q105815259,sibling_any
Q104472588,Q99803961,sibling_any
Q104473746,Q75776429,sibling_any
Q104484521,Q105821280,sibling_any
Q104484521,Q75552096,sibling_any
Q104484521,Q75669363,sibling_any
Q104484521,Q75984685,sibling_any
Q104484521,Q99069929,sibling_any
Q104484521,Q99674956,sibling_any
Q1045098,Q497827,sibling_any
Q104551518,Q123729264,sibling_any
Q104551518,Q131179528,sibling_any
Q104551518,Q99399789,sibling_any
Q104553386,Q107296253,sibling_any
Q104787347,Q105877768,sibling_any
Q104787347,Q113336067,sibling_any
Q104787347,Q115287292,sibling_any
Q104787347,Q16854048,sibling_any
Q104787347,Q96216128,sibling_any
Q104787347,Q97103884,sibling_any
Q104799495,Q105842388,sibling_any
Q104799495,Q107263388,sibling_any
Q104799495,Q96311655,sibling_any
Q104913506,Q115779540,sibling_any
Q104913506,Q127328853,sibling_any
Q105768323,Q111525144,sibling_any
Q105768323,Q99804378,sibling_any
Q105770107,Q99804161,sibling_any
Q105770170,Q75387654,sibling_any
Q105770170,Q75933583,sibling_any
Q105771120,Q76277933,sibling_any
Q105790237,Q105873559,sibling_any
Q105790237,Q75791771,sibling_any
Q105790237,Q76154931,sibling_any
Q105791234,Q75771274,sibling_any
Q105793162,Q7025528,sibling_any
Q105801465,Q105802962,sibling_any
